s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	tag	task	sample	cpus_per_task	snake_thread
55.9378	0:00:55	747.81	9481.16	129.36	253.64	189.59	4	10.12	6.97	a7	m6anet_inference	deac	32	4
58.4851	0:00:58	797.65	9487.82	221.17	321.91	376.74	71.97	196.83	116.25	c7	m6anet_inference	deac	32	4
69.1374	0:01:09	729.63	9559.59	182.32	287.6	180.16	20	43.39	31.04	c9	m6anet_inference	deac	8	4
70.156	0:01:10	774.46	9495.16	219.52	336.53	392.33	59.99	128.73	91.4	c0	m6anet_inference	deac	4	4
101.5513	0:01:41	779.69	9569.09	134.73	268.89	130.44	55.99	92.39	94.44	c8	m6anet_inference	deac	16	4
172.1366	0:02:52	783.35	9501.18	301.3	378.17	806.29	291.69	238.18	407.59	d7	m6anet_inference	deac	32	4
202.729	0:03:22	791.3	9571.24	311.82	386.06	688.2	251.75	213.97	434.98	d8	m6anet_inference	deac	16	4
228.9714	0:03:48	797.02	9569.71	333.37	408.21	652.55	295.69	160.79	369.56	d9	m6anet_inference	deac	8	4
227.8392	0:03:47	791.65	9496.64	326.48	417.78	472.48	259.74	173.31	394.43	d0	m6anet_inference	deac	4	4
11.8483	0:00:11	1209.33	17253.43	184.94	311.47	186.6	19.43	263.13	32.2	a3	m6anet_inference	deac	32	8
17.1706	0:00:17	1273.16	17259.25	182.79	304.65	101.82	16.01	242.26	43.39	a5	m6anet_inference	deac	16	8
17.0048	0:00:17	1210.97	17054.55	233.82	343.55	1.07	16.01	252.56	43.67	a6	m6anet_inference	deac	8	8
29.4517	0:00:29	1277.5	17118.81	207.53	323.22	275.75	24	155.65	46.98	b3	m6anet_inference	deac	32	8
32.1846	0:00:32	1259.52	17065.23	195.09	322.71	344.95	20	112.16	35.79	b5	m6anet_inference	deac	16	8
35.9986	0:00:35	1283.75	17122.83	258.83	355.67	214.5	20.01	130.35	47.61	b6	m6anet_inference	deac	8	8
127.7185	0:02:07	1294.72	17134.32	258.36	369.56	325.42	64	110.94	143.56	c3	m6anet_inference	deac	32	8
100.0883	0:01:40	1294.5	17263.31	234.67	343.21	304.7	63.99	203.94	155.98	c5	m6anet_inference	deac	16	8
97.6416	0:01:37	1259.88	16877.71	235.66	335.47	361.5	71.96	206.42	202.76	c6	m6anet_inference	deac	8	8
